Aractip,Marka,Model,Arac Kayit Tip,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Total,
MOTOSİKLET,PEUGEOT,SATALIS,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1,
MOTOSİKLET,PIAGGIO,CARNABY,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
Motobisiklet,PIAGGIO,NRG POWER DT GRIGIO,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
MOTOSİKLET,PIAGGIO,VESPA VXL,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
MOTOSİKLET,PIAGGIO,TYPHOON,Yeni,0,0,0,0,0,0,0,0,0,0,0,1,1,
MOTORLU TR (ATV),POLARIS,SPORTSMAN,Yeni,0,0,1,1,0,1,2,1,0,0,0,0,6,
ESTATE,PORSCHE,CAYENNE,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
ESTATE,PORSCHE,MACAN,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,RAMZEY,KALIPSO,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
Motobisiklet,RAMZEY,MOPED,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
SALON ARAÇ,RENAULT,MEGANE,Yeni,1,0,0,5,0,0,0,0,0,0,0,0,6,
ESTATE,RENAULT,KADJAR,Yeni,0,0,0,0,0,1,0,0,0,0,0,0,1,
MOTOSİKLET,REPLICA,SR 50,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
MOTOSİKLET,RKS,WILDCAT,Yeni,1,0,0,1,0,0,1,0,2,1,0,0,6,
MOTOSİKLET,RKS,MT 3,Yeni,0,0,0,0,0,2,0,1,2,0,0,0,5,
MOTOSİKLET,RKS,MT3,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTORLU TR (ATV),RKS,LH500,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTOSİKLET,RUNNER,SP 125,Yeni,0,0,2,1,1,1,0,0,0,0,0,0,5,
MOTOSİKLET,RUNNER,ST125,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
MOTOSİKLET,SALCANO,YY150 T-4,Yeni,0,0,0,0,0,0,1,0,0,0,0,0,1,
MOTOSİKLET,SALKO,ZS250SG,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1,
MOTOSİKLET,SANYA,SY200GY,Yeni,0,0,0,0,0,0,0,0,0,0,0,10,10,
MOTOSİKLET,SANYA,SY110-42B,Yeni,0,0,0,0,0,0,0,0,0,0,0,2,2,
ESTATE,SEAT,ATECA,Yeni,1,0,0,1,1,0,2,0,0,0,0,0,5,
SALON ARAÇ,SEAT,ARONA,Yeni,0,0,1,1,2,4,7,0,0,0,0,0,15,
SALON ARAÇ,SEAT,TOLEDO,Yeni,0,0,0,0,5,0,0,0,0,0,0,0,5,
MOTORLU TR (ATV),SEGWAY,SNARLER 600GL,Yeni,0,0,0,0,0,0,0,0,1,0,0,0,1,
MOTOSİKLET,SKYTEAM,ST125-8C,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTOSİKLET,SUZUKI,BURGMAN,Yeni,0,2,1,2,0,0,0,2,0,0,0,0,7,
MOTOSİKLET,SUZUKI,BIRDIE 80,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
MOTOSİKLET,SUZUKI,AVENIS,Yeni,0,0,0,0,0,0,0,2,0,1,0,0,3,
MOTOSİKLET,SUZUKI,ADDRESS,Yeni,0,0,0,0,0,0,0,0,0,1,0,0,1,
SALON ARAÇ,SUZUKI,SWİFT,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTOSİKLET,SYM,SYMPHONY SR,Yeni,1,0,0,0,0,0,0,0,0,1,0,0,2,
MOTOSİKLET,SYM,125,Yeni,2,1,0,3,1,2,0,0,0,0,0,0,9,
MOTOSİKLET,SYM,FİDDLE,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTOSİKLET,SYM,CROX,Yeni,0,0,0,0,0,0,0,0,0,0,1,0,1,
MOTOSİKLET,SYM,JET,Yeni,0,0,0,0,0,0,0,0,0,0,4,1,5,
MOTOSİKLET,SYM,JOYRIDE 300,Yeni,0,0,0,0,0,0,0,0,0,0,4,0,4,
MOTOSİKLET,SYM,X PRO,Yeni,0,0,0,0,0,0,0,0,0,0,2,0,2,
MOTOSİKLET,SY-XZJ,MOTOSİKLET ELEKTİKLİ,Yeni,0,0,0,0,1,0,0,0,0,0,0,0,1,
KAZICI,TAKEUCHI,215 MİNİ EKSKAVATÖR PALE,Yeni,0,0,0,0,0,0,0,1,0,0,0,0,1,
SALON ARAÇ,TOYOTA,COROLLA,Yeni,3,4,10,0,4,6,2,11,7,7,1,7,62,
ÇİFT KABİN,TOYOTA,HILUX,Yeni,1,0,0,0,0,0,0,1,1,0,1,0,4,
ESTATE,TOYOTA,C-HR,Yeni,1,1,1,2,3,0,0,2,2,3,6,4,25,
ESTATE,TOYOTA,RAV4,Yeni,0,1,1,2,2,0,0,1,4,1,3,1,16,
SALON ARAÇ,TOYOTA,YARİS,Yeni,0,0,0,0,0,1,0,2,0,0,1,1,5,
MOTOSİKLET,TRIUMPH,TIGER SPORT 660,Yeni,0,0,0,1,0,1,0,0,0,0,0,0,2,
MOTOSİKLET,TRIUMPH,STREET TRIUM,Yeni,0,0,0,1,0,0,0,1,0,0,0,0,2,
MOTOSİKLET,TRIUMPH,TRIDENT,Yeni,0,0,0,2,0,0,0,0,1,0,0,0,3,
Motobisiklet,TRIUMPH,STREET TRIUM,Yeni,0,0,0,1,0,0,0,0,0,0,0,0,1,
MOTOSİKLET,TRIUMPH,ROCKET,Yeni,0,0,0,0,0,1,0,1,0,0,0,0,2,
MOTOSİKLET,TRIUMPH,SPEED TWIN 900,Yeni,0,0,0,0,0,0,0,0,0,2,0,0,2,
MOTOSİKLET,TRIUMPH,TRIDENT 660,Yeni,0,0,0,0,0,0,0,0,0,0,0,4,4,
